full time series of predicted survey index
survey year spp area pred_survey
1 1 1 1 148395
1 1 2 1 900.428
1 1 3 1 175.193
1 1 4 1 63246.4
1 2 1 1 133981
1 2 2 1 619.651
1 2 3 1 105.391
1 2 4 1 61051.5
1 3 1 1 101850
1 3 2 1 799.436
1 3 3 1 119.151
1 3 4 1 59890.3
1 4 1 1 71270.1
1 4 2 1 1446.25
1 4 3 1 174.353
1 4 4 1 59267.2
1 5 1 1 47995.2
1 5 2 1 2067.31
1 5 3 1 230.823
1 5 4 1 58949.9
1 6 1 1 32060.3
1 6 2 1 2508.24
1 6 3 1 272.154
1 6 4 1 58728.6
1 7 1 1 21824.7
1 7 2 1 2786.83
1 7 3 1 298.136
1 7 4 1 58577.6
1 8 1 1 15510.9
1 8 2 1 2949.58
1 8 3 1 312.785
1 8 4 1 58427.9
1 9 1 1 11729.6
1 9 2 1 3045.29
1 9 3 1 320.868
1 9 4 1 58305.3
1 10 1 1 9515.17
1 10 2 1 3104.99
1 10 3 1 325.523
1 10 4 1 58218.6
1 11 1 1 8237.42
1 11 2 1 3139.43
1 11 3 1 327.972
1 11 4 1 58124.8
1 12 1 1 7509.84
1 12 2 1 3160.46
1 12 3 1 329.345
1 12 4 1 58040.7
1 13 1 1 7096.7
1 13 2 1 3169.08
1 13 3 1 329.8
1 13 4 1 57934.9
1 14 1 1 6864.36
1 14 2 1 3173.91
1 14 3 1 330.031
1 14 4 1 57840.1
1 15 1 1 6736.45
1 15 2 1 3179.33
1 15 3 1 330.365
1 15 4 1 57771.5
1 16 1 1 6665.9
1 16 2 1 3182.32
1 16 3 1 330.535
1 16 4 1 57704.6
1 17 1 1 6623.29
1 17 2 1 3178.63
1 17 3 1 330.207
1 17 4 1 57607.7
1 18 1 1 6596.09
1 18 2 1 3172.92
1 18 3 1 329.758
1 18 4 1 57503.8
1 19 1 1 6583.91
1 19 2 1 3175.51
1 19 3 1 329.983
1 19 4 1 57455.7
1 20 1 1 6577.26
1 20 2 1 3175.98
1 20 3 1 330.029
1 20 4 1 57398.4
1 21 1 1 8843.57
1 21 2 1 3175.32
1 21 3 1 329.974
1 21 4 1 61756.8
1 22 1 1 11596.7
1 22 2 1 3165.65
1 22 3 1 329.184
1 22 4 1 66274.8
1 23 1 1 14536.6
1 23 2 1 3157.59
1 23 3 1 328.493
1 23 4 1 70908.2
1 24 1 1 17379.2
1 24 2 1 3147.51
1 24 3 1 327.608
1 24 4 1 75512.1
1 25 1 1 19930.6
1 25 2 1 3130.79
1 25 3 1 326.153
1 25 4 1 79934.5
1 26 1 1 22125.3
1 26 2 1 3123.59
1 26 3 1 325.467
1 26 4 1 84241.1
1 27 1 1 23948.3
1 27 2 1 3122.07
1 27 3 1 325.233
1 27 4 1 88355.2
1 28 1 1 25409.5
1 28 2 1 3116.48
1 28 3 1 324.639
1 28 4 1 92151.2
1 29 1 1 26535.5
1 29 2 1 3100.89
1 29 3 1 323.223
1 29 4 1 95530.4
1 30 1 1 27404.3
1 30 2 1 3093.51
1 30 3 1 322.523
1 30 4 1 98669.9
1 31 1 1 28047.4
1 31 2 1 3082.23
1 31 3 1 321.514
1 31 4 1 101425
1 32 1 1 28514
1 32 2 1 3070.89
1 32 3 1 320.506
1 32 4 1 103844
1 33 1 1 28840.2
1 33 2 1 3058.53
1 33 3 1 319.429
1 33 4 1 105926
1 34 1 1 29048.9
1 34 2 1 3042.01
1 34 3 1 318.013
1 34 4 1 107638
1 35 1 1 29159.8
1 35 2 1 3020.89
1 35 3 1 316.224
1 35 4 1 108978
1 36 1 1 29222.1
1 36 2 1 3009.86
1 36 3 1 315.316
1 36 4 1 110153
1 37 1 1 29255.5
1 37 2 1 3005.76
1 37 3 1 314.999
1 37 4 1 111166
1 38 1 1 29270.2
1 38 2 1 3004.11
1 38 3 1 314.868
1 38 4 1 112014
1 39 1 1 29255.1
1 39 2 1 2995.31
1 39 3 1 314.111
1 39 4 1 112603
1 40 1 1 29248.3
1 40 2 1 2996.43
1 40 3 1 314.209
1 40 4 1 113189
1 41 1 1 29228.6
1 41 2 1 2992.81
1 41 3 1 313.897
1 41 4 1 113597
1 42 1 1 29211.7
1 42 2 1 2992.07
1 42 3 1 313.825
1 42 4 1 113951
2 1 1 1 173381
2 1 2 1 1998.9
2 1 3 1 424.921
2 1 4 1 70998.4
2 2 1 1 144191
2 2 2 1 3300.59
2 2 3 1 802.791
2 2 4 1 70072.8
2 3 1 1 106563
2 3 2 1 6259.26
2 3 3 1 1288.45
2 3 4 1 69530.6
2 4 1 1 73910.9
2 4 2 1 9162.55
2 4 3 1 1669
2 4 4 1 69174.3
2 5 1 1 49845.1
2 5 2 1 11285.1
2 5 3 1 1913.89
2 5 4 1 68952.2
