full time series of predicted survey index
survey year spp area pred_survey
1 1 1 1 121192
1 1 2 1 1785.77
1 1 3 1 377.803
1 1 4 1 54800
1 2 1 1 148899
1 2 2 1 1013.08
1 2 3 1 289.796
1 2 4 1 60017.6
1 3 1 1 137687
1 3 2 1 1741.65
1 3 3 1 542.293
1 3 4 1 64159.2
1 4 1 1 109749
1 4 2 1 3489.47
1 4 3 1 827.098
1 4 4 1 67106.1
1 5 1 1 80245.2
1 5 2 1 5075.68
1 5 3 1 1033.35
1 5 4 1 69044.7
1 6 1 1 55863.8
1 6 2 1 6172.42
1 6 3 1 1156.08
1 6 4 1 70113.6
1 7 1 1 38121.7
1 7 2 1 6854.1
1 7 3 1 1223.44
1 7 4 1 70602
1 8 1 1 26157.1
1 8 2 1 7247.92
1 8 3 1 1257.55
1 8 4 1 70642.5
1 9 1 1 18501.4
1 9 2 1 7479.71
1 9 3 1 1275.88
1 9 4 1 70437.7
1 10 1 1 13782.2
1 10 2 1 7626.58
1 10 3 1 1287.21
1 10 4 1 70109
1 11 1 1 10947
1 11 2 1 7712.6
1 11 3 1 1293.12
1 11 4 1 69667.9
1 12 1 1 9279.35
1 12 2 1 7766.59
1 12 3 1 1296.74
1 12 4 1 69191.2
1 13 1 1 8309.95
1 13 2 1 7789.87
1 13 3 1 1297.59
1 13 4 1 68670.9
1 14 1 1 7754.97
1 14 2 1 7804.35
1 14 3 1 1298.32
1 14 4 1 68176.5
1 15 1 1 7443.1
1 15 2 1 7820.84
1 15 3 1 1299.87
1 15 4 1 67742.2
1 16 1 1 7268.17
1 16 2 1 7830.98
1 16 3 1 1300.67
1 16 4 1 67340.8
1 17 1 1 7165.9
1 17 2 1 7823.8
1 17 3 1 1299.35
1 17 4 1 66934.9
1 18 1 1 7105.53
1 18 2 1 7811.52
1 18 3 1 1297.82
1 18 4 1 66557.8
1 19 1 1 7077.17
1 19 2 1 7820.52
1 19 3 1 1299.37
1 19 4 1 66290
1 20 1 1 7061.31
1 20 2 1 7823.71
1 20 3 1 1299.75
1 20 4 1 66041
1 21 1 1 9488.08
1 21 2 1 7823.57
1 21 3 1 1299.63
1 21 4 1 70889.3
1 22 1 1 12262.6
1 22 2 1 7800.48
1 22 3 1 1296.43
1 22 4 1 75861.2
1 23 1 1 15108.5
1 23 2 1 7781.61
1 23 3 1 1294.15
1 23 4 1 80901.9
1 24 1 1 17793.9
1 24 2 1 7757.73
1 24 3 1 1291.15
1 24 4 1 85844.2
1 25 1 1 20167.1
1 25 2 1 7717.02
1 25 3 1 1285.88
1 25 4 1 90523.2
1 26 1 1 22195.1
1 26 2 1 7700.34
1 26 3 1 1284.22
1 26 4 1 95049.2
1 27 1 1 23872.8
1 27 2 1 7697.77
1 27 3 1 1284.15
1 27 4 1 99343.6
1 28 1 1 25210.8
1 28 2 1 7684.45
1 28 3 1 1282.12
1 28 4 1 103267
1 29 1 1 26234.7
1 29 2 1 7645.88
1 29 3 1 1276.73
1 29 4 1 106714
1 30 1 1 27027.1
1 30 2 1 7628.22
1 30 3 1 1274.86
1 30 4 1 109916
1 31 1 1 27610.6
1 31 2 1 7600.77
1 31 3 1 1271.48
1 31 4 1 112699
1 32 1 1 28032.7
1 32 2 1 7573.03
1 32 3 1 1268.14
1 32 4 1 115127
1 33 1 1 28326.1
1 33 2 1 7542.77
1 33 3 1 1264.54
1 33 4 1 117201
1 34 1 1 28510.3
1 34 2 1 7502.07
1 34 3 1 1259.57
1 34 4 1 118883
1 35 1 1 28603.2
1 35 2 1 7449.95
1 35 3 1 1253.26
1 35 4 1 120170
1 36 1 1 28657.2
1 36 2 1 7423.33
1 36 3 1 1250.88
1 36 4 1 121311
1 37 1 1 28687.5
1 37 2 1 7413.9
1 37 3 1 1250.53
1 37 4 1 122302
1 38 1 1 28701
1 38 2 1 7410.15
1 38 3 1 1250.44
1 38 4 1 123130
1 39 1 1 28683.5
1 39 2 1 7388.23
1 39 3 1 1247.49
1 39 4 1 123682
1 40 1 1 28678.6
1 40 2 1 7391.3
1 40 3 1 1248.39
1 40 4 1 124258
1 41 1 1 28659.2
1 41 2 1 7382.39
1 41 3 1 1247.22
1 41 4 1 124645
1 42 1 1 28643.9
1 42 2 1 7380.63
1 42 3 1 1247.12
1 42 4 1 124986
full time series of predicted catch
fleet year spp area pred_catch
1 1 1 1 27505.5
1 1 4 1 6358.57
1 2 1 1 49426.6
1 2 4 1 6825.95
1 3 1 1 57146.4
1 3 4 1 7288.16
1 4 1 1 52181.9
1 4 4 1 7670.66
1 5 1 1 41494.3
1 5 4 1 7951.3
1 6 1 1 30362.4
1 6 4 1 8135.14
1 7 1 1 21198.1
1 7 4 1 8238.13
1 8 1 1 14532.5
1 8 4 1 8281.52
