full time series of predicted survey index
survey year spp area pred_survey
1 1 1 1 282798
1 1 2 1 2.02582e-261
1 1 3 1 2.48669e+006
1 1 4 1 8984.78
1 2 1 1 8874.86
1 2 2 1 7.64812e-229
1 2 3 1 34692.8
1 2 4 1 778.094
1 3 1 1 7404.2
1 3 2 1 5.44131e-190
1 3 3 1 19186
1 3 4 1 1958.47
1 4 1 1 12364.7
1 4 2 1 2.86411e-192
1 4 3 1 18020.3
1 4 4 1 2427.7
1 5 1 1 10934.3
1 5 2 1 1.27009e-185
1 5 3 1 18060.9
1 5 4 1 1941.37
1 6 1 1 10807.1
1 6 2 1 1.0203e-189
1 6 3 1 15238.5
1 6 4 1 1935.23
1 7 1 1 11893.9
1 7 2 1 3.05279e-191
1 7 3 1 15774.9
1 7 4 1 2315.63
1 8 1 1 10305.2
1 8 2 1 9.69387e-193
1 8 3 1 13619.8
1 8 4 1 1836.39
1 9 1 1 11875.8
1 9 2 1 3.33258e-194
1 9 3 1 16156.4
1 9 4 1 2312.99
1 10 1 1 11656.5
1 10 2 1 8.50905e-180
1 10 3 1 19320.1
1 10 4 1 2229.6
1 11 1 1 10302.3
1 11 2 1 1.45285e-183
1 11 3 1 18553.7
1 11 4 1 1745.06
1 12 1 1 11289.4
1 12 2 1 9.10158e-181
1 12 3 1 20363.8
1 12 4 1 1970.98
1 13 1 1 9284.83
1 13 2 1 8.94086e-185
1 13 3 1 17043.2
1 13 4 1 1349.6
1 14 1 1 10448
1 14 2 1 2.91869e-186
1 14 3 1 18809.6
1 14 4 1 1607.95
1 15 1 1 11592.3
1 15 2 1 1.46148e-179
1 15 3 1 20901.4
1 15 4 1 1988.85
1 16 1 1 12005.6
1 16 2 1 2.9097e-183
1 16 3 1 19309.6
1 16 4 1 2269.03
1 17 1 1 9942.27
1 17 2 1 3.10499e-185
1 17 3 1 14402.2
1 17 4 1 1675.58
1 18 1 1 12653.1
1 18 2 1 1.34362e-186
1 18 3 1 14465.5
1 18 4 1 2617.28
1 19 1 1 12201.7
1 19 2 1 6.57916e-183
1 19 3 1 17997.3
1 19 4 1 2554.31
1 20 1 1 10818.7
1 20 2 1 6.98887e-187
1 20 3 1 15965
1 20 4 1 2089.61
1 21 1 1 12703
1 21 2 1 1.62754e-188
1 21 3 1 15767.4
1 21 4 1 2761.4
1 22 1 1 10932.1
1 22 2 1 2.04923e-190
1 22 3 1 11744.9
1 22 4 1 2252.96
1 23 1 1 11522.4
1 23 2 1 5.13188e-192
1 23 3 1 14887.4
1 23 4 1 2378.32
1 24 1 1 11145.6
1 24 2 1 1.55556e-193
1 24 3 1 14864.7
1 24 4 1 2170.81
1 25 1 1 11282.6
1 25 2 1 3.8637e-195
1 25 3 1 12599.5
1 25 4 1 2240.46
1 26 1 1 12546.4
1 26 2 1 2.4261e-189
1 26 3 1 16885.2
1 26 4 1 2684.58
1 27 1 1 13890.2
1 27 2 1 1.47036e-174
1 27 3 1 19494.1
1 27 4 1 3363.63
1 28 1 1 12743.5
1 28 2 1 1.95782e-178
1 28 3 1 17081.7
1 28 4 1 3157.87
1 29 1 1 10934
1 29 2 1 2.85528e-180
1 29 3 1 13393.4
1 29 4 1 2481.89
1 30 1 1 13222.9
1 30 2 1 6.84788e-182
1 30 3 1 17902.7
1 30 4 1 3176.43
1 31 1 1 12097
1 31 2 1 1.37138e-183
1 31 3 1 15083.1
1 31 4 1 2810.79
1 32 1 1 11937.5
1 32 2 1 3.17271e-185
1 32 3 1 15018.8
1 32 4 1 2758.76
1 33 1 1 12439.1
1 33 2 1 1.07086e-186
1 33 3 1 14442.7
1 33 4 1 2958.73
1 34 1 1 11345.1
1 34 2 1 3.2343e-188
1 34 3 1 12112.1
1 34 4 1 2595.6
1 35 1 1 11272.1
1 35 2 1 9.42043e-190
1 35 3 1 10374.6
1 35 4 1 2567.01
1 36 1 1 12417.8
1 36 2 1 1.09523e-191
1 36 3 1 11641.2
1 36 4 1 2999.65
1 37 1 1 11652.9
1 37 2 1 1.31401e-193
1 37 3 1 12114.2
1 37 4 1 2737.09
1 38 1 1 12068.9
1 38 2 1 2.46507e-195
1 38 3 1 12753.5
1 38 4 1 2885.65
1 39 1 1 11135.2
1 39 2 1 5.30405e-197
1 39 3 1 10515.3
1 39 4 1 2549.78
1 40 1 1 12713.6
1 40 2 1 1.23067e-198
1 40 3 1 13406.3
1 40 4 1 3118.84
1 41 1 1 11454.8
1 41 2 1 3.09516e-200
1 41 3 1 11316.3
1 41 4 1 2710.38
1 42 1 1 12306.6
1 42 2 1 1.13181e-201
1 42 3 1 12538.4
1 42 4 1 3062.07
2 1 1 1 27204.7
2 1 2 1 2.02582e-261
2 1 3 1 28977.7
2 1 4 1 7720.73
2 2 1 1 4097.96
2 2 2 1 6.76503e-231
2 2 3 1 513.408
2 2 4 1 77.7381
2 3 1 1 245.504
2 3 2 1 4.81303e-192
2 3 3 1 44.0944
2 3 4 1 30.1827
2 4 1 1 474.981
2 4 2 1 2.80881e-194
2 4 3 1 26.9187
2 4 4 1 52.129
2 5 1 1 618.404
2 5 2 1 1.12344e-187
2 5 3 1 25.1172
2 5 4 1 45.5724
2 6 1 1 556.645
2 6 2 1 3.99519e-191
2 6 3 1 22.2029
2 6 4 1 42.121
2 7 1 1 608.82
2 7 2 1 4.20356e-192
2 7 3 1 21.6514
2 7 4 1 50.4786
2 8 1 1 592.388
2 8 2 1 1.74362e-193
2 8 3 1 19.1971
2 8 4 1 43.9956
2 9 1 1 578.884
2 9 2 1 6.53798e-195
2 9 3 1 20.9741
2 9 4 1 49.0281
2 10 1 1 626.585
2 10 2 1 7.52655e-182
2 10 3 1 24.6505
2 10 4 1 50.6714
2 11 1 1 541.04
2 11 2 1 5.54216e-185
2 11 3 1 25.4668
2 11 4 1 38.833
2 12 1 1 520.443
2 12 2 1 8.05738e-183
2 12 3 1 27.7877
2 12 4 1 39.6195
2 13 1 1 471.939
2 13 2 1 3.70302e-186
2 13 3 1 25.2663
2 13 4 1 28.6722
2 14 1 1 438.675
2 14 2 1 4.04997e-187
2 14 3 1 26.2568
2 14 4 1 29.8965
2 15 1 1 534.781
2 15 2 1 1.29273e-181
2 15 3 1 28.7346
2 15 4 1 38.8988
2 16 1 1 624.721
2 16 2 1 1.04222e-184
2 16 3 1 27.8314
2 16 4 1 48.6789
2 17 1 1 561.876
2 17 2 1 4.27454e-186
2 17 3 1 21.8428
2 17 4 1 39.0904
2 18 1 1 615.026
2 18 2 1 2.41055e-187
2 18 3 1 20.3052
2 18 4 1 54.9028
2 19 1 1 717.366
2 19 2 1 5.82035e-185
2 19 3 1 22.5862
2 19 4 1 62.7188
2 20 1 1 627.119
2 20 2 1 2.75922e-188
2 20 3 1 21.7751
2 20 4 1 51.2303
2 21 1 1 666.496
2 21 2 1 2.24365e-189
2 21 3 1 21.4881
2 21 4 1 62.6119
2 22 1 1 714.22
2 22 2 1 3.70059e-191
2 22 3 1 16.8193
2 22 4 1 61.5402
2 23 1 1 613.724
2 23 2 1 1.00902e-192
2 23 3 1 18.4001
2 23 4 1 55.4761
2 24 1 1 621.356
2 24 2 1 3.15837e-194
2 24 3 1 19.463
2 24 4 1 52.1267
2 25 1 1 628.937
2 25 2 1 7.94399e-196
2 25 3 1 17.681
2 25 4 1 53.1452
2 26 1 1 669.217
2 26 2 1 2.14597e-191
2 26 3 1 20.7161
2 26 4 1 61.6391
2 27 1 1 816.8
2 27 2 1 1.30059e-176
2 27 3 1 24.4101
2 27 4 1 83.5446
2 28 1 1 881.021
2 28 2 1 7.66603e-180
2 28 3 1 22.8865
2 28 4 1 91.9577
2 29 1 1 725.801
2 29 2 1 3.93172e-181
2 29 3 1 18.3939
2 29 4 1 71.4011
2 30 1 1 704.202
2 30 2 1 1.11906e-182
2 30 3 1 21.689
2 30 4 1 76.3487
2 31 1 1 807.442
2 31 2 1 2.68904e-184
2 31 3 1 20.2622
2 31 4 1 80.4072
2 32 1 1 727.034
2 32 2 1 6.43738e-186
2 32 3 1 19.5033
2 32 4 1 72.8847
2 33 1 1 760.708
2 33 2 1 2.20087e-187
2 33 3 1 18.9266
2 33 4 1 78.8716
2 34 1 1 751.528
2 34 2 1 6.68041e-189
2 34 3 1 16.314
2 34 4 1 74.251
2 35 1 1 702.64
2 35 2 1 1.94932e-190
2 35 3 1 13.8997
2 35 4 1 70.0447
2 36 1 1 749.233
2 36 2 1 2.26773e-192
2 36 3 1 14.2893
2 36 4 1 79.7834
2 37 1 1 767.823
2 37 2 1 2.72138e-194
2 37 3 1 14.8183
2 37 4 1 78.4672
2 38 1 1 742.281
2 38 2 1 5.10572e-196
2 38 3 1 15.7669
2 38 4 1 78.0118
2 39 1 1 739.341
2 39 2 1 1.09863e-197
2 39 3 1 13.9027
2 39 4 1 73.8905
2 40 1 1 741.352
2 40 2 1 2.54912e-199
2 40 3 1 16.0298
2 40 4 1 80.7154
2 41 1 1 797.055
2 41 2 1 6.41111e-201
2 41 3 1 14.7198
2 41 4 1 81.9026
2 42 1 1 761.696
2 42 2 1 2.34436e-202
2 42 3 1 15.4597
2 42 4 1 83.7885
full time series of predicted catch
fleet year spp area pred_catch
1 1 1 1 17274.2
1 1 4 1 6096.67
1 2 1 1 11529.9
1 2 4 1 4049.94
1 3 1 1 7556.35
1 3 4 1 7874.64
1 4 1 1 7345.15
1 4 4 1 8919.91
1 5 1 1 9480.21
1 5 4 1 10738.6
1 6 1 1 8829.22
1 6 4 1 10024.1
1 7 1 1 7098.62
1 7 4 1 8199.14
1 8 1 1 8418.3
1 8 4 1 9514.89
1 9 1 1 7340.18
1 9 4 1 8501.04
1 10 1 1 8343.58
1 10 4 1 9564.18
1 11 1 1 10826.1
1 11 4 1 12157.9
1 12 1 1 10511.7
1 12 4 1 11964.6
1 13 1 1 13436.3
1 13 4 1 14764.6
1 14 1 1 12741.5
1 14 4 1 14289.4
1 15 1 1 10843.3
1 15 4 1 12293.4
1 16 1 1 8438.33
1 16 4 1 9639.18
1 17 1 1 9895.65
1 17 4 1 11060.8
1 18 1 1 5399.86
1 18 4 1 6326.93
1 19 1 1 6013.01
1 19 4 1 6966.01
1 20 1 1 7477.97
1 20 4 1 8544.19
1 21 1 1 4721.64
1 21 4 1 5556.33
1 22 1 1 4688.83
1 22 4 1 5403.62
1 23 1 1 5964.12
1 23 4 1 6945.46
1 24 1 1 6949.95
1 24 4 1 8012.47
1 25 1 1 5836.77
1 25 4 1 6745.21
1 26 1 1 5496.5
1 26 4 1 6439.23
